created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Apr 30 11:54:22 +0000 2024;1785276507826573504;"@bluuchive kucing";0;1;0;0;in;1165989154443784192;1785274329670062394;karinangitiss;https://twitter.com/karinangitiss/status/1785276507826573504
Tue Apr 30 11:54:20 +0000 2024;1785276496241918246;"@bakemonoe Akanku apus mianhae gomenasai";0;0;0;0;in;2995984332;1785273074969141544;DEMIAPELU;https://twitter.com/DEMIAPELU/status/1785276496241918246
Tue Apr 30 11:54:15 +0000 2024;1785276478428721294;"@ETATheo Tebak ada berapa kucing di dalam GIF tersebut?";0;1;0;0;in;791798302614310913;1785275503500497135;SFAMarang;https://twitter.com/SFAMarang/status/1785276478428721294
Tue Apr 30 11:54:11 +0000 2024;1785276458132554120;"@unairmenfezt kucing perpus https://t.co/WH8ErdCPrn";0;0;0;0;in;947665777133363200;1785266403857346992;urmoonbaeeee;https://twitter.com/urmoonbaeeee/status/1785276458132554120
Tue Apr 30 11:54:06 +0000 2024;1785276438482235506;"@K_Reinxxx_ Ahahaha suara kek kucing mau kawin begitu.  Oh ya? Gitarmu Walden jugaa? 🤩";0;1;0;0;in;49735877;1785271173569560776;dikaism;https://twitter.com/dikaism/status/1785276438482235506
Tue Apr 30 11:54:04 +0000 2024;1785276429279858822;"@nectourn 🗿ydh maaf dakh ok";0;0;0;0;in;2995984332;1785273074969141544;DEMIAPELU;https://twitter.com/DEMIAPELU/status/1785276429279858822
Tue Apr 30 11:54:03 +0000 2024;1785276424485839137;"@eghoishe kucing kucing";0;0;0;0;in;1485966359465201664;1785271937331253617;flowryrora;https://twitter.com/flowryrora/status/1785276424485839137
Tue Apr 30 11:53:59 +0000 2024;1785276409344315477;"Jadi kucing tu emang enakk sii keknyaa";0;0;0;0;in;1405898185982185478;1785276409344315477;HiiYou00;https://twitter.com/HiiYou00/status/1785276409344315477
Tue Apr 30 11:53:56 +0000 2024;1785276395096350981;"ayahku bikin sumur kayak mau kurban pls, pake spanduk biru polos yang buat alas motong daging kurban buat batasin daerah yg lagi di galinya, takut kucing masuk kesana, kalau lagi kurban kan ini tuh kdng supaya temennya si sapi ga ngeliat temennya di potong 😭😭😭🤏🏻";0;1;0;0;in;1739472932932665344;1785276395096350981;kokidoio;https://twitter.com/kokidoio/status/1785276395096350981
Tue Apr 30 11:53:48 +0000 2024;1785276364251341136;"@sapphicsss iya free soalnya nolep";0;0;0;0;in;2995984332;1785273074969141544;DEMIAPELU;https://twitter.com/DEMIAPELU/status/1785276364251341136
